          ROUTINE IMPLEM|    BUF SIZE|     MINIMUM ns|      MEDIAN ns|     MAXIMUM ns|     AVERAGE ns|   STD DEV %|    BW GiB/s|   SPEEDUP %
   Current `strncmp_sve`|    32.0 KiB|           4350|           4358|           4423|       4358.381|       0.322|       7.002|
       New `strncmp_sve`|    32.0 KiB|           4230|           4273|           4388|       4273.559|       0.687|       7.141|      +1.98%
   Current `strncmp_sve`|    64.0 KiB|           8805|           8853|           9324|       8879.000|       1.023|       6.874|
       New `strncmp_sve`|    64.0 KiB|           8652|           8661|           8714|       8666.377|       0.208|       7.043|      +2.45%
   Current `strncmp_sve`|   512.0 KiB|          73632|          76513|          78364|      76103.225|       2.139|       6.416|
       New `strncmp_sve`|   512.0 KiB|          68416|          69372|          69640|      69295.974|       0.362|       7.046|      +9.82%
   Current `strncmp_sve`|     1.0 MiB|         149770|         154357|         156585|     153143.448|       1.498|       6.377|
       New `strncmp_sve`|     1.0 MiB|         137902|         139251|         140885|     139250.781|       0.691|       7.013|      +9.98%
   Current `strncmp_sve`|    16.0 MiB|        2396058|        2447601|        2490741|    2443626.923|       1.042|       6.394|
       New `strncmp_sve`|    16.0 MiB|        2205539|        2221823|        2244937|    2222299.290|       0.350|       7.031|      +9.96%
   Current `strncmp_sve`|    32.0 MiB|        4781009|        4910606|        4995231|    4895705.484|       1.440|       6.383|
       New `strncmp_sve`|    32.0 MiB|        4401682|        4449973|        4493102|    4445973.774|       0.607|       7.029|     +10.12%
   Current `strncmp_sve`|   256.0 MiB|       38289436|       39089794|       39427793|   38996703.355|       0.746|       6.411|
       New `strncmp_sve`|   256.0 MiB|       35294675|       35575614|       36195953|   35568913.226|       0.446|       7.029|      +9.64%
